ID,階段,模組,任務,說明,依賴,預估(人天),累積人天,優先級,狀態
T61,M5,法務,🚀◆ 賣家資訊揭露＋聯絡頁,通訊交易應載明事項(賣家名稱/聯絡/退換貨政策)、聯絡我們,—,0.5,89.5,P0,未開始
T63,M5,法務,🚀◆ 當事人個資權利處理流程,查詢／更正／刪除個資請求（初期人工 email）｜對齊 0001：因 orders 對 member 為 FK RESTRICT，有訂單的會員無法實體刪除；當事人刪除請求走「匿名化」（洗去姓名/email、保留帳務），非真刪。,T08,0.5,90,P1,未開始
T38,M5,上線,🚀整體測試與上線檢查（戒指）,E2E 走查、checklist｜checklist 須檢核四項 dashboard 設定已完成：T34 備份／T50 寄件網域／T82 環境分離＋Deployment Protection／T83 Auth production 設定（2026-07-02 環境審查補充）｜再加一項（2026-07-04，T37 PR #31 隨手記）：NEXT_PUBLIC_SENTRY_DSN 設定完成後，手動觸發一次例外（build+start 或打錯 CheckMacValue 的 ECPay webhook），確認 Sentry 專案 Issues 頁面真的收到事件、environment 標記正確，才算監控就位｜再加一項「配額與方案盤點」（2026-07-08 壓測風險討論定案，以此取代壓力測試——現階段流量模型不需壓測，真風險是免費方案天花板）：①**Vercel 升 Pro（Hobby 條款禁止商業用途，收單前必辦）**②Resend 免費 ~100 封/天 vs 預估單量（一單 2–3 封）③Upstash 免費每日指令數 vs OTP 限流用量④Supabase Pro（T34 已含）⑤日後有行銷檔期/媒體曝光前，再對 staging 做輕量 load test（k6，需 T82 完成）。Dashboard 操作由使用者本人執行｜再加一項（2026-07-22，T59 SEO 基礎 PR #115 隨手記）：SEO/GEO 上線後 production 驗證（需正式網域＋production 環境才驗得到——本機/preview 因非 production 一律 noindex＋robots 全禁，屬正確行為非 bug）——①`/robots.txt` 應為「開放＋Disallow 清單」（非 Disallow:/）、隨手 view-source 商品頁確認無 noindex；②Google Rich Results Test 貼商品頁 URL 驗 Product（AggregateOffer/lowPrice、availability=MadeToOrder）＋BreadcrumbList 合法無錯；③OG 分享卡：貼商品/首頁 URL 到 opengraph.xyz 或 LINE/FB 看預覽卡（og:image/site_name/locale/type 齊全）；④`/sitemap.xml` 可存取且列出 active 商品；⑤（可選）Google Search Console 提交 sitemap,—,2,94,P0,未開始
T45,後續,擴充,擴充其他品類（耳環／項鍊／手鍊）,靠後台自行上架＋素材,T13,2,96,P2,未開始
T82,M5,基礎建設,🚀◆ Vercel 環境變數分離（Preview／Production）,環境審查發現（2026-07-02）：13 個變數全部 Preview＋Production 共用→①staging 直接寫 production DB（已證實：production 有 7 張 sandbox 測試單）②T35 換正式 ECPay 金鑰時 preview 也會拿到真收單金鑰③NEXT_PUBLIC_SITE_URL 單一值致 webhook 回打錯環境④service role key 暴露給所有 preview build。修法：Preview 指向獨立 Supabase 專案／branch、ECPay 永遠留 sandbox 於 Preview、SITE_URL 分環境；順帶確認 Deployment Protection 開啟。完成後清除 production 測試資料（orders／payment／member／cart＋auth.users 測試帳號，寫一次性 script）。**必須在 T35 之前完成**。Dashboard 操作由使用者本人執行。,T52,1,104.75,P0,未開始
T87,M5,通知,取消／退款／出貨（override）通知信,T67／T68／T69 review round 3（2026-07-03）順帶發現：src/lib/email/ 目前只有 order-confirmation／new-order-notification／support-request-notification 三支，後台 order-actions.tsx 手動把訂單改成 cancelled／refunded 時完全沒有寄信通知客人；notify webhook 的 ensureNotificationSent 也因此刻意只在 status===paid 才寄信（避免對已取消/退款訂單誤發訂單確認信），但取消/退款當下客人端不會收到任何通知。範圍比 T47（退換貨流程＋綠界金流退刷，含審核分流）小很多，可獨立先做：比照 order-confirmation.ts 架構新增 order-cancelled/order-refunded 通知信，在 order-actions.tsx 狀態轉換成功後寄出。T47 做完整退換貨流程時一併沿用。｜範圍擴充（2026-07-04，T30b PR review 順帶發現）：同一根因也存在於「出貨」——Admin Override 面板可直接把訂單改成 shipped，完全繞過 shipOrder，不寫 tracking_no、也不寄 T30b 新增的出貨通知信。修這批時一併在 overrideStatus 針對 to==='shipped' 補寄（沿用 sendOnce＋order_shipped type 去重）。,T31,0.5,107.25,P2,未開始
T91,M5,安全,🚀◆ 帳號與金鑰營運安全,營運面檢討（2026-07-04）：程式內金鑰管理有規則，帳號層沒人管。清單：①Supabase／Vercel／Resend／GitHub／綠界 dashboard 全部開 2FA；②ECPay 正式金鑰洩漏時的輪替程序文件化（T35 換正式金鑰時一併定）；③依賴安全漏洞通報機制——啟用 GitHub Dependabot alerts（CLAUDE.md 說「安全漏洞才升級」但目前沒有任何機制會通知有漏洞），或定期跑 pnpm audit。Dashboard 操作由使用者本人執行；Claude 負責 Dependabot 設定檔與輪替程序文件。上線前必完成。｜補充（2026-07-08 審查隨手記）：④requireAdmin 以 email 字串全等比對判定管理員——程式端改比對前雙方 toLowerCase()+trim() 正規化（一行），並在設定 ADMIN_EMAIL env 時核對與 Supabase 正規化後的登入 email 完全一致，否則管理員會被靜默擋在後台外。｜展開（2026-07-20）：完整可執行 checklist 移至 docs/security-account-key-ops.md（帳號 2FA／金鑰清冊與分級輪替／Dependabot＋secret scanning／⑤新增 Vercel WAF＋BotID 平台級防護／監控告警／定期節奏／洩漏應變劇本）——本任務範圍以該檔為準；BotID 碰 checkout/login 路徑實作前先進 plan mode。,—,0.5,110,P1,未開始
T103,M5,金流,站內付 2.0 取代 AIO 導轉式信用卡（ECPG）,完整規劃見 docs/ecpg-migration-plan.md（2026-07-08 產出，📋 未定案）：五階段——CSP spike（go/no-go 關卡）→AES-JSON 協議層→後端流程＋獨立新 webhook（既有 AIO webhook 留至退場）→前端嵌入頁 feature flag（PAYMENT_FLOW=aio|ecpg）分流→staging 全量、production 切換、30 天雙軌觀察後退場。資料層僅一支 migration（payment.protocol 欄位）；訂單狀態機／ensure-paid／sendOnce 零改動。效益＝不離站體驗＋為綁卡快付鋪路；主要風險＝ECPG webhook 重送規則官方未說明（reconcile cron 升為主防線，初期加密到每 4 小時）、3D 導向從對特店透明變成特店責任（新失敗模式）、CSP 須放寬白名單（jQuery→node-forge→官方 SDK 三段載入）。Pass Criteria 8 條量化門檻見規劃文件 §4。建議 MVP 上線後才動工；涉金流，動工前先 plan mode。,"T35,T82,T101",7,120.75,P2,未開始
T104,M4,前台,🚀全客製預約表單（/custom）,文件整理 Gap（2026-07-08）：user-flow Flow 4／IA 網站地圖／wireframe custom.html 皆已定案，但當初標「輕量新增、非編號任務」從未登記編號，易掉出視野。範圍：/custom 預約訂製說明頁＋需求表單（品項／預算帶／想法／參考圖選填／Email 必填）→建立詢問紀錄＋Email 通知店家（沿用 T49 寄信模式；插值一律 escape-html；限流比照 T93 售後申請）；可選寄客人確認信。不接金流、不建訂單；完整報價→確認書→鎖價為 Phase 3。,T39,1,121.75,P1,未開始
T105,M4,前台,🚀首頁正式版,文件整理 Gap（2026-07-08）：homepage demo（incantochen-home.html）為設計定稿參考，但首頁實作無明確任務歸屬，production `/` 仍為骨架。範圍：依 IA §1＝品牌故事＋主打款 landing＋custom 入口；依 brand-guide 與 wireframe index.html 落地（hero 滿版深色＋explore collection 直書＋圓形下滑鈕等 token 已定）；主打款卡片接真實商品資料；情境圖素材未到位前用佔位策略（對齊 T55/T56 暫緩現況，不杜撰內容）。,T39,1.5,123.25,P1,未開始
T106,M2,品質,🚀◆ 自動化測試階段（verify:all＋E2E 套件＋測試紀錄）,使用者需求（2026-07-08）：code review 完成後進入全自動測試階段，需完整測試計畫與測試紀錄。測試計畫已定於 docs/test-plan.md（S1–S7 案例矩陣＋紀錄規範）。實作範圍（Phase 1）：①tests/e2e/ 建置（@playwright/test＋helpers：loginAs／test-data(runId 標記+teardown 必清，⚠️ 目前打 production DB)／submitForm(requestSubmit 陷阱)／simulateWebhook(自組 CheckMacValue 直打 notify)）②S1–S7 全部 ✅ 級案例 ③pnpm verify:all（lint→tsc→vitest→build→e2e 一鍵）④自訂 reporter 產出 tests/e2e/records/*.md 測試紀錄（進 git、PR 引用）＋HTML report(ignored) ⑤tests/e2e/README.md（操作＋踩坑）。不進 CI／不進 hook；@sandbox 案例預設跳過。取代 dev-process.md P-04 原「掛任務順手做」方案。Phase 2（T82 後改打 staging）／Phase 3（T101 後 nightly）見 test-plan.md §5。,"T51,T85",2,125.25,P1,未開始
T112,M3,品質,◆ 統一客人／admin checkout 表單與購物袋讀取邏輯,"T111 本機 code-review（2026-07-12，max-effort 10 角度）發現：src/components/admin-checkout-form.tsx 與既有 src/components/checkout-form.tsx 各自重寫一份幾乎相同的欄位 state／zod 驗證錯誤對應／送出中禁用邏輯；同時 guest_token→cart→cart_item 的讀取序列在 src/app/checkout/actions.ts、src/app/admin/orders/checkout/actions.ts、src/lib/cart/read-cart.ts 三處各自實作。非功能性缺陷（目前測試全綠），純維護成本：任何一處的錯誤訊息／驗證規則／防呆修正需手動同步到其餘複本，容易漏改。修法：抽出共用 hook（如 useCheckoutFormFields）供兩表單共用；抽出共用 loadCartForCheckout(serviceRole, guestToken) 供三處讀取邏輯共用。",T111,0.5,129.75,P2,未開始
T114,M4,商品,◆ 商品圖批次匯入腳本,使用者需求（2026-07-13，T11 驗收時）：上線前正式商品圖（實拍照或 3D 合成素材，視 launch-scope C-1 拍板）一次性匯入，免用後台 UI 逐張上傳。做法：Node 腳本吃本地資料夾，命名慣例對應——資料夾名＝product slug、檔名數字前綴＝sort_order、其餘檔名當 alt；重用 T11 的 src/lib/storage lib（uploadProductImage 驗證＋上傳＋insert product_image），可重複執行（storage_path 已存在則跳過）。launch-scope 分級 D（後台 UI 手動上傳為現成過渡方案，不擋上線）；等 C-1 素材定案有圖可匯再動工。,T11,0.5,130.5,P2,未開始
T115,M4,商品,◆ 商品目錄卡片查詢收斂（延後至 T12/T13 之後）,"T14（PR #61）code-review 發現：/collections/[category] 查詢每個商品的 product_option 時撈出全部選項類型與選項值（含卡片用不到的，如戒圍），只為了取寶石/金屬色點的預設值兩個純量。曾評估用 Supabase !inner 巢狀 filter（.in(\\product_option.option_type.code\\,[...])）收斂查詢範圍，但實測會讓「沒有掛 gem_color/metal_color 選項的商品」被 inner join 整筆排除在目錄外——不只是「還沒設定」的暫時狀態，而是未來任何品類/商品只要沒有這兩種選項（設計上不需要，或選項代碼不同）就會永久從目錄消失，比效能問題嚴重得多，故未採用。待 T12/T13（選項後台管理）上線、實際看到跨品類的選項資料長相後，再評估合適的收斂做法（例如改用左外連接＋app 端篩選，而非 DB 端 inner join）。現有效能成本在目前商品規模下可忽略，不擋上線。",T13,0.5,131,P2,未開始
T116,M4,素材,🚀◆ AI 產品圖生成批次工具（金屬色×寶石全矩陣）,使用者需求（2026-07-14）：網站核心價值＝解決「無法事先確認配色與樣式」痛點，PDP 需「金屬色×寶石」全矩陣預產圖（C-1 拍板：取消 T55 疊圖／T56 自學 Blender，改離線預產平面圖＋T17 組合鍵查圖）。範圍：Node CLI 腳本（scripts/，不進 web app）呼叫圖像編輯模型 API（如 Gemini 圖像編輯），輸入每款實拍底圖＋目標矩陣設定（金屬色×寶石白名單，讀 DB 或設定檔），批次生成「換金屬色＋換主石」的組合圖——建議先由底圖生成各金屬色版本、再對每個金屬版本換寶石（避免單次 prompt 疊兩種改動品質不穩）；每組合可產多張候選供挑選（AI 有抽卡成分），輸出本地資料夾、檔名帶組合鍵（slug_metal_stone）供 T17 查圖；人工逐張對照真石校對色準後定稿，配合 T114 匯入腳本上傳。API 金鑰使用者自備（env var，不進 git、不經 Claude）；按張計費（每張約 NT$1–4，10 款全矩陣約數百張含重生成）。列 B 級（launch-scope）——素材是配色預覽價值主張的前提。｜引擎定案（2026-07-14，以戒指02實照實測，詳見 work-log）：主力 Gemini（草稿 Flash 免費 500 張/日、定稿 Pro 2K Batch API 半價 ≈$0.067/張），備援 OpenAI gpt-image（token 制較貴；實測結構細節不服從——主石六爪連續 4 張畫成四爪、整張重生細節漂移；Gemini 局部編輯一次命中且其餘像素不動）；FLUX Kontext 出局（輸出上限 ~1K 不夠 PDP）。工作流定型：實拍照→棚拍化底圖（人工對實物驗收結構）→結構錯誤用局部編輯修正（勿重抽 prompt）→底圖換金屬色→逐金屬版本換寶石（全程局部編輯保矩陣一致性）→每步多候選＋人工挑選。引擎層做成可抽換 adapter（GEMINI_API_KEY／OPENAI_API_KEY 皆使用者自填）。圖片規格定案（2026-07-14）：母檔 2048×2048（1:1，Gemini Pro 2K 原生檔位）、sRGB WebP q82–85（工具內 sharp 轉檔）、目標 ≤500KB 硬上限 1MB（bucket 上限 5MB）；chip 縮圖 256×256 ≤40KB；前台多尺寸交由 next/image 從母檔即時縮放，不另切；4K 僅未來 hero／深度縮放個案重生。,T114,1,132,P1,未開始
T120,M2,配置器,◆ 配置器依 input_type 渲染（select 下拉／swatch 色票／stepper 加減器）,使用者觀察（2026-07-14，T13 驗收時）：前台 product-configurator.tsx 目前把所有選項一律渲染成 chip 方塊按鈕，不讀 option_type.input_type 也不讀 option_value.swatch_hex。這是 T16（配置器 UI，2026-06-25 完成）當時刻意的 MVP 取捨（選項數量少、chip 夠用），非 bug；但 schema（0001 input_type：swatch/select/stepper）與 T12（0012 swatch_hex）已把意圖記在資料層。本任務讓配置器讀 input_type：select→原生下拉或自訂 dropdown（選項多時較省空間，如戒圍未來擴充尺碼）、swatch→彩色圓點（用 swatch_hex，缺色碼 fallback chip 文字）、stepper→加減器（MVP 無 stepper 選項，先保底）。範圍：只改前台 src/components/product-configurator.tsx 的渲染分支＋PDP 查詢補撈 input_type/swatch_hex 欄位（page.tsx 目前只撈 label/sort_order）；不動後台、不動 addToCart/verify-prices（送出的仍是 option_value id，計價鏈不變）。與 T15 品牌視覺打磨可同批。,T13,1,134,P2,未開始
T122,M5,金流,🚀◆ 電子發票正式帳號＋字軌設定,T42（PR 待開）驗收時發現：目前程式使用的 ECPAY_INVOICE_MERCHANT_ID/HASH_KEY/HASH_IV/URL 是 ECPay 官方公開發布的共用測試帳號（2000132），與金流測試帳號（3002607）性質相同——僅供 sandbox 開發，任何開發者共用，絕不可帶入正式環境。上線前須：①商業／營業登記完成後，向 ECPay 另外申請電子發票服務開通（與 T35 的金流特店申請是分開的流程）②取得財政部配號後於 ECPay 後台設定字軌（InvoiceWordSetting，一次性）③換發票專屬的正式 MerchantID／HashKey／HashIV 到 Vercel production env（4 個變數，src/lib/env.server.ts 已定義好型別）。全部是使用者本人在 Dashboard 操作＋換 env，非程式改動；與 T35（金流正式金鑰）性質相同但帳號家族不同，分開列一支任務避免上線檢查漏勾。驗收加一條（2026-07-15 T42 走查確認）：正式帳號上線後實測一張小額單開立，確認綠界的發票開立通知信真的寄達客人信箱——stage 測試環境不保證對外寄信，此項只能在正式環境驗。,T42,0.25,134.5,P0,未開始
T123,M2,通知,◆ 通知重試的失敗分類與嘗試次數上限（T88 完整版技術債）,T88 過渡版（PR #66 review 修正）已落地：每日 reconcile cron 的 failed-notification sweep 補寄 status='failed' 的通知，暫時性失敗最慢隔天自癒；但不區分暫時／永久失敗、無嘗試次數上限——永久性失敗（客人 email 打錯、硬退信）會每天重試失敗＋Sentry 告警一次，靠人工判斷「連續 2–3 天同一筆告警＝永久失敗」介入（ops-runbook §4）。完整版：notification 表加欄位（failure_type／retry_count 或 last_error）→ 需新增 migration（先 plan mode）；寄信失敗時解析 Resend 錯誤分類（4xx 驗證／退信＝永久，5xx／timeout＝暫時），永久失敗不再重試、直接告警轉人工；重試 N 次仍失敗自動降級。營運後視告警噪音決定優先序；上線不需要（過渡版已保證信件不遺失）。列 C 級（launch-scope）。,T88,0.5,135,P3,未開始
T125,M5,通知,◆ 自家訂單信件／頁面補發票開立資訊,使用者需求（2026-07-15，T42 驗收時）：發票開立通知本體由綠界寄出（B2C 開立成功後 ECPay 自動寄到 CustomerEmail，載具歸戶與中獎通知也歸綠界，我方無通知義務），成功頁已顯示發票號＋隨機碼——本任務是額外 UX 加分項：①客人訂單確認信（或會員訂單詳情頁）補「發票已開立：號碼＋隨機碼」區塊；②時序注意：訂單確認信在付款當下寄出、發票在 after() 背景才開立，確認信寄出時多半還沒有發票號，故不能塞進確認信，應考慮 a) 會員中心訂單詳情頁顯示（純讀 DB，最簡）或 b) 發票開立成功後另寄一封輕量通知（需接 sendOnce＋notification type 新增，成本較高、與綠界的通知重複）——傾向只做 a)。launch-scope D 級（綠界通知＋成功頁已覆蓋義務與主要 UX，不擋上線）。,T42,0.25,135.75,P3,未開始
T126,M2,金流,◆ 對帳 cron 改小時級（webhook 失靈自癒從隔日縮到 ~1 小時內）,T107 落地後金流兜底節奏仍為每日一次：webhook 失靈時客人最壞整天看到「待付款」＋無確認信，高單價商品信任成本高，拍板改小時級（2026-07-15）。前提（擇一，使用者本人操作）：Vercel 升級 Pro——Hobby cron 限每日一次（現況確認為 Hobby），小時級排程會被平台擋；或改外部排程器每小時打既有 endpoint（已有 CRON_SECRET Bearer 驗證＝requireCronAuth）——Upstash QStash Schedules（已用 Upstash，免費額度 500 msg/日遠夠）或 GitHub Actions schedule（免費但觸發抖動可達數十分鐘、CRON_SECRET 需進 GitHub Secrets）。程式連動（缺一不可）：①排程改每小時（vercel.json 或外部排程器設定）；②RECONCILE_COOLDOWN_MS 20h→50min（T107 規則：冷卻必須明顯短於 cron 週期，否則失敗重試仍隔 20h、排程白改）；③failed-notification sweep 留每日一次（route 內限定時段執行）——notification 表無嘗試次數欄位（T123 才加），跟著小時級會讓 still-failing 告警每小時炸一次；④docs 連動：runbook §1/§4 的「隔日」「連續 2–3 天告警」判斷句、route 註解、T38 checklist cron 項。查詢量評估已做：T66 已綁 pending 母體 ≤72h，每筆最多 24 次/日×3 天，MVP 單量遠低於綠界限流，RateLimitError 整批退避照常。,T107,0.5,136.25,P2,未開始
T128,M2,金流,reconcile summary 的 rateLimited/httpAborted 併為單一 abortReason,清理項（PR #70 max review 第3項，2026-07-17 定案不在該批做）：reconcile route 回傳的 summary 目前用 rateLimited/httpAborted 兩個 boolean 表達中止原因，可整併為單一 abortReason 欄位語意更清晰。不做的理由：屬對外 JSON 契約變更，需同步更新測試與監控／告警消費者，好處偏推測性、消費者目前無感，收益不抵回歸風險。,,0.25,137.00,P3,未開始
T135,M2,後台,◆ Admin 代客建單改用獨立暫存車，脫離會員共用 cart（T81 max review 衍生）,T81 max code-review 衍生（2026-07-18，PR #84）：T81 把 admin/orders/checkout/actions.ts 的車查找從 guest_token（每瀏覽器獨立）改成 resolveCartIdentity() member 分支，migration 0018 的 uq_cart_member 又規定一會員至多一車——admin 帳號全站現在只有一台車，換瀏覽器／裝置不再是隔離手段。cart_item 要付款才清（T75），且 resolvePendingOrderForCart 偵測到不同客戶會靜默取消前一張待付款訂單，故 admin 在同一張訂單未付款前換裝置繼續幫下一位客人加車、送出，會把前一張訂單靜默取消、品項併進下一張——客人 A 的訂單無聲消失、品項算到客人 B 頭上。已驗證（verifier CONFIRMED，非假設）。修法方向（2026-07-18 評估定向）：**每張代客訂單一台草稿車（per-draft cart）**——admin 按「建立訂單」開一筆全新 cart row（專屬 token），加車落進該草稿，建單成功即消耗；與 uq_orders_one_pending_per_cart「一車一 pending 單」天然對齊，無取消連鎖、無品項殘留、換裝置＝換草稿互不干擾，admin 自購（member 車）與代客（草稿車）徹底分流。⚠️ 已評估否決「單一 admin 專屬車」：仍是一台共用車，uq_orders_one_pending_per_cart 照樣逼 resolvePendingOrderForCart 取消前一張 pending 單，遺單問題原封不動；「建單後清品項」亦同理只修污染不修遺單。實作時再拍板加車入口：前台商品頁 addToCart 感知代客模式（admin 專用 cookie 帶草稿 id）vs admin 後台自建選配器（乾淨但複製配置器 UI 成本高）。過渡期：本次未修（現階段流量低、admin 為單一操作者，per docs/ops-runbook.md，且已知悉此限制可人工避免——同一張訂單未付款前不要換裝置/瀏覽器繼續加下一位客人的東西），不擋 T81 merge（launch-scope D）。,T81,0.5,139.25,P3,未開始
T136,M2,品質,◆ email 信件外殼與 FROM_EMAIL 共用 layout 收斂（T47 PR #86 max review #7）,"T47 退款信 PR #86 max code-review #7（2026-07-18）＋前次 T72/T84 已知既有債：order-refunded／order-shipped／order-confirmation／new-order-notification／support-request-notification 各支寄信程式，把整段 HTML 外殼（DOCTYPE/head、綠底 #0f3325＋金字 #c9a84c logo header、footer「© incantochen」、CTA 按鈕、外層 table 版型）與 FROM_EMAIL 常數『onboarding@resend.dev』、member email 陣列/物件 unwrap（Array.isArray 分支）各自逐字複製一份。品牌調整（logo 顏色、footer 文案、CTA 樣式）或 T35 網域驗證後把 FROM 換 orders@incantochen.com 時，須逐檔改、漏改任一支就對客人寄出品牌/寄件人不一致的信。修法：抽 renderEmailShell({title,eyebrow,heading,bodyHtml,loginUrl}) layout helper＋共用 FROM_EMAIL 常數＋unwrapMemberEmail helper，各信件檔 import。⚠️ 純重構、牽動 5 支既有信件檔＋全部 email 測試，需一次到位並逐信視覺驗證，不塞退款 PR。現行以複本並存無功能問題、不擋上線（launch-scope D）。",T47,0.25,139.5,P3,未開始
T137,M2,結帳,◆ 結帳頁配送方式選擇（面交／物流）,使用者需求（2026-07-20，T108 面交格式收斂時衍生）：目前面交／物流之分由後台 order-actions 出貨時決定，客人端無從選擇。本任務在結帳頁 /checkout 新增配送方式選擇（面交自取／宅配物流），下單時把選擇持久化到訂單。設計待定（動手前先釐清）：①持久化方式——傾向 orders 新增獨立配送方式欄位（migration，先 plan mode），與 T108 註記／T48『orders 增列配送方式欄位』為同一件事，一併做掉並讓 tracking_no 前綴分流退場改讀正規欄位；②面交免收件地址、宅配才需地址與運費（shipping_fee 目前 0 佔位、T48 暫緩），故配送方式會連動結帳表單的地址必填與運費計算；③運費一律伺服器端算（verify-prices／createOrder），不信任前端。耦合 T48（宅配串接，P3 暫緩）與 T108（前綴收斂）；宅配未接前可先只上面交、或兩者皆備而物流走人工。launch-scope C（宅配整合本身已延後、非上線阻擋）。,T22,1,140.5,P2,未開始
T138,M2,前台,◆ 購物車層失效品項偵測（引用商品/選項失效時提示重下單）,使用者需求（2026-07-20，T117 衍生）：cart_item 所引用的商品或任一已選選項值被後台隱藏/移除後，/cart 目前純從 config_snapshot 顯示、不比對現況，客人一路填完整張結帳表按送出才被 verify-prices throw 擋（白走一段）。目標：getCart 對每筆 cart_item 比對現況（商品仍 active＋每個已選 option_type/option_value 仍在白名單顯示中），失效者標『該商品或商品選項已不存在，請重新下單』，有任一失效即停用『前往結帳』直到移除（使用者決策 2026-07-20）。實作：新增 src/lib/cart/check-cart-items-validity.ts（白名單建構與 verify-prices priceMap 同源，理想抽共用避免複本失同步§6；查詢失敗 fail-open，結帳端 verify-prices 為最終兜底）；read-cart.ts 的 CartItemView 加 invalid＋回傳 hasInvalidItems；/cart 頁失效樣式＋停用前往結帳；結帳端既有 throw 保留當兜底。測試：helper 單元（商品下架／值隱藏／類別隱藏→invalid、全有效→valid、查詢失敗→fail-open）＋getCart 整合。與 T117（PDP 擋新加）互補——本任務擋已加。待拍板：①『任何已選值被隱藏＝該筆失效』含非必選 vs 只管必選（暫定含非必選，較符合『這筆確切配置做不出來』）。⚠️ 規劃已定（見 2026-07-20 對話），動手走 Ultraplan 雲端執行（plan mode 計畫→送 Ultraplan），非本地 session 直接改。,T117,0.5,141,P2,未開始
