ID,階段,模組,任務,說明,依賴,預估(人天),累積人天,優先級,狀態
T17,M1,配置器,🚀選項即時換圖（組合鍵查圖）,"選項變動切換圖｜2026-07-14 改寫（C-1 拍板）：不做疊圖——前端依選中「金屬色×寶石」組合鍵查對應的預產圖（素材由 T116 生成），查無對應圖 fallback 預設圖＋「示意圖，實品以出貨為準」標註（圖片可漸進補齊、不必上線前拍滿矩陣）。範圍：product_image 增組合對應（migration，動工前 plan mode）＋T11 後台圖片管理加組合標記 UI＋配置器 chip 改用 option_value.image_path 縮圖（欄位 T11 已建）。響應式要點（2026-07-14 定）：單一 2048 母檔交由 next/image srcset 分發（手機實際下載 828–1080px AVIF），實作時 sizes 屬性照版面寫對、僅當前主圖 priority 其餘 lazy、chip hover 預取對應組合圖。核心價值主張＝解決「無法事先確認配色」痛點，列 B 級（launch-scope）。","T16,T11,T116",1.5,27,P0,未開始
T18,M1,報價,報價引擎（即時計價）,底價＋Σ加價×數量｜✅ 完成（2026-06-25）：product-configurator.tsx 即時算 unit_price/小計，補回加價明細面板；Playwright 驗證價格正確即時更新。,T16,2,29,P0,完成
T19,M1,報價,規格＋金額快照結構,config_snapshot／單價快照｜✅ 完成（2026-06-25）：server action 內伺服器端重算並組出符合 data-model.md 契約的 JSON，與 T20 一起做。,T18,1,30,P0,完成
T20,M1,購物車,加入購物車（寫快照）,CartItem 寫快照｜✅ 完成（2026-06-25）：新增 service-role client＋addToCart action，guest_token cookie，雲端 DB 驗證通過。,T19,1.5,31.5,P0,完成
T21,M1,購物車,購物車頁,項目、改數量、刪除、小計｜✅ 完成（2026-06-25）：/cart 頁＋擁有權檢查的改數量/刪除 action；Playwright＋雲端 DB 驗證通過。✅ 購物車徽章（2026-06-26）：SiteHeader 購物袋圖示右上角紅色數字徽章（最高 9+）；src/lib/cart/get-cart-count.ts（service role 讀 guest_token cookie 取數量）；加入購物袋後 router.refresh() 即時更新。,T20,2,33.5,P0,完成
T22,M1,結帳,結帳頁（收件＋配送）,◆ 收件資訊、配送；結帳即建會員（magic link）｜✅ 完成（2026-06-25）：/checkout＋checkout-form.tsx(Zod驗證)；釐清結帳本身不需OTP，建會員留給T23；已補郵遞區號欄位(查證ECPay黑貓宅配API需求)；送出按鈕disabled(待T23/T48/T57)。,T21,2,35.5,P0,完成
T48,M1,金流,綠界黑貓宅配串接（保價＋本人簽收）,黑貓宅配 API、保價、本人簽收；僅收台灣宅配費（國際段內含定價）｜2026-07-11 決策：MVP 暫不接宅配，優先級降為 P3。,T22,1.5,37,P3,未開始
T57,M1,法務,客製例外告知與同意（結帳）,結帳明示客製品不適用七天猶豫期，勾選同意才下單，存同意＋時間戳記,T22,0.5,37.5,P0,完成
T23,M1,訂單,建立訂單（待付款）,◆ Order/OrderItem、單號；用 email 建會員或辨識既有會員,"T22,T48,T57",2.5,40,P0,完成
T41,M1,安全,伺服器端驗價＋金鑰隔離,後端重算金額＋運費；金鑰僅留伺服器｜✅ 完成（2026-06-26）：verify-prices.ts（Zod驗config_snapshot、DB重查base_price+price_delta、重建configSnapshot、priceChanged）；createOrder加R/S/Q loop（金額變動→更新cart_item快照、revalidate、回傳priceUpdated:true不建單）；checkout-form.tsx區分amber警示vs紅色硬錯誤+router.refresh()；env.server.ts加SUPABASE_SERVICE_ROLE_KEY required()；service-role.ts改用serverEnv。,"T18,T23",1.5,41.5,P0,完成
T51,M1,品質,報價引擎單元測試,計價／驗價自動測試,"T18,T41",1,42.5,P0,完成
T58,M1,安全,◆ 應用層安全防護,SQL 注入防護(參數化/RPC綁定)、輸入驗證(Zod)、安全標頭、XSS、速率限制/防濫發 magic link｜✅ 完成（2026-06-27）：next.config.ts Security headers（X-Frame-Options/nosniff/Referrer-Policy/Permissions-Policy/CSP/HSTS）；login/actions.ts email trim+lowercase+Zod驗證＋Upstash Redis 雙重速率限制（IP+email 各別；verifyOtp IP 30/min）；src/lib/rate-limit.ts 封裝 slidingWindow limiters,"T07,T18",1.5,44,P0,完成
T24,M1,金流,ECPay sandbox 設定,測試商店、金鑰、SDK,T02,1,45,P0,完成
T25,M1,金流,建立付款請求並導向 ECPay,交易、CheckMacValue、導頁,"T23,T24",2.5,47.5,P0,完成
T26,M1,金流,處理回拋並更新狀態,callback 驗證、更新 Payment／Order,T25,2.5,50,P0,完成
T53,M1,金流,冪等性處理（防重複）,建單／回拋去重；雙通道處理｜✅ 完成（2026-06-26）：generateMerchantTradeNo；buildAioParams 接受外部 merchantTradeNo；/checkout/pay 預建 payment 記錄、復用 pending 冪等、已付款直導成功頁；webhook 以 merchant_trade_no 查 payment 表、UPDATE 防競態、fallback 處理 23505。,T26,1,51,P0,完成
T27,M1,金流,付款結果頁,成功／失敗導引｜✅ 完成（2026-06-26）：/checkout/success 強化（DB 讀狀態，paid→完整訂單資訊，pending_payment→3s 輪詢最多 90s）；新增 /checkout/failed（失敗頁，重新付款入口；若訂單已 paid 自動跳轉成功頁）；order-result route 失敗改導向 /checkout/failed。,T26,1,52,P0,完成
T30a,M1,通知,Email 下單確認（基本）,付款成功寄客人確認信｜✅ 完成（2026-06-27）：resend 安裝；env.server.ts 加 RESEND_API_KEY；src/lib/email/order-confirmation.ts（查 order+items+member email→buildEmailHtml→Resend send）；notify/route.ts 兩個 paid path 各加 void sendOrderConfirmation().catch(()=>{})；FROM_EMAIL=onboarding@resend.dev（T35 換自訂網域）；E2E：checkout→ECPay sandbox→webhook 1|OK→Resend 確認信寄出,T26,1.5,53.5,P0,完成
T49,M1,通知,新訂單通知店家,有新單即 email／LINE 通知你本人｜✅ 完成（2026-06-27）：src/lib/email/new-order-notification.ts（sendNewOrderNotification：查 orders+items+member.email；HTML 含訂單號/客人資訊/品項/總計）；notify/route.ts 兩個 paid path 加 void sendNewOrderNotification().catch(()=>{})；TO固定=fishead02290@gmail.com（T35後改env var）,T26,0.5,54,P0,完成
T28,M2,訂單,訂單狀態機,狀態定義與合法轉換,T26,1.5,55.5,P0,完成
T29,M2,訂單,狀態紀錄（OrderStatusLog）,狀態變更寫 log,T28,0.5,56,P0,完成
T08,M2,會員,會員中心框架,版面、個人資料頁｜✅ 完成（2026-07-01）：`/account` layout（側邊 nav：訂單／個人資料／登出）＋`account-nav.tsx`（active 判斷）；`/account/profile`（唯讀 Email＋可編輯姓名，service role 更新 member.name）；`/account/orders` 佔位頁（留 T32）；require-user.ts/proxy.ts 補登入後導回原頁（?redirect=）；site-header 會員 icon 改連 /account,T07,1.5,57.5,P0,完成
T31,M2,後台,後台訂單管理,看單、改狀態、貼物流單號,T28,2.5,60,P0,完成
T64,M2,安全,◆ 後台 PII 遮罩＋存取稽核,後台顯示遮罩(09xx-***-123)、記錄誰存取個資｜✅ 完成（2026-07-02）：後台列表／詳情預設遮罩（姓名/電話/Email/地址），詳情頁「顯示完整個資」走 server action 揭示並寫應用層稽核 log（不新增 DB 表）,T31,0.5,60.5,P1,完成
T32,M2,前台,顧客訂單追蹤,會員中心看狀態與紀錄｜✅ 完成（2026-07-02）：`/account/orders` 換成真實訂單列表（取代 T08 佔位頁）；`/account/orders/[id]` 詳情頁（狀態時間軸、物流單號、品項與合計，不含售後入口＝T33 範圍）；STATUS_LABELS／日期金額 formatter 去重抽到 order-status.ts／utils.ts；product 名稱改走 service role 查（RLS 對下架商品會擋 join），順帶開了 T65 追蹤日後補 product_name_snapshot,"T29,T08",1.5,62,P0,完成
T65,M2,訂單,OrderItem 補 product_name_snapshot,商品改名或下架後，待付款訂單明細會顯示現在的名稱而非下單當下的名稱；比照既有 unit_price_snapshot/config_snapshot 做法，order_item 新增 product_name_snapshot 欄位，createOrder() 寫入時鎖住商品名稱。影響 T23（建立訂單寫入）、T31（後台顯示）、T32（顧客追蹤頁，屆時可改直接讀 snapshot，取代目前用 service role 補查 product.name 的暫時做法）。涉及 migration，動手前先 plan mode。｜✅ 完成（2026-07-02）：migration 0005（nullable＋回填既有訂單）；verifyCartPrices 回傳 productName（DB 驗證同一次查詢取得），createOrder 寫入 product_name_snapshot；顯示端（會員/後台/Email/ECPay ItemName）快照優先、join 現值僅 null 窗口 fallback；移除 T32 的 service role 補查 workaround；新增 4 個單測（name 缺失/空值/非字串 → 擋單）,T23,0.5,62.5,P1,完成
T66,M2,訂單,🚀◆ 待付款訂單逾期自動取消,"✅ 完成（2026-07-11，PR #51）：新增 /api/cron/pending-payment-expire（72h 未付款自動轉 cancelled，寫 order_status_log）；前置修復 transitionOrder 補上 CAS 守衛（新增 OrderTransitionRaceError 具名錯誤類別，區分良性競態與真失敗）。本機 code-review high＋三代理深度審查（比照 ultra）另修復：cron 取消訂單時順帶把 pending payment 標 failed（防死資料塞滿 ecpay-reconcile 每日候選批次）。【批次3，與 T74／T75／T76 同批】",T28,0.5,63,P1,完成
T30b,M2,通知,其餘狀態通知（出貨等）,"出貨／配送 email｜✅ 完成（2026-07-04）：sendOrderShippedNotification（鏡射 order-confirmation.ts）＋escape-html.ts 共用 helper；shipOrder 用既有 sendOnce 去重＋await；面交（pickup）與宅配文案分流（不誤植「已交由物流出貨」）。Admin Override 繞過通知的缺口併入 T87。PR #32。",T28,1,64,P0,完成
T09,M3,後台,後台框架＋管理員權限,"版面、admin 角色｜✅ 完成（2026-07-12，PR #56）：src/app/admin/layout.tsx 共用版面（header 顯示管理員 email、左側 nav）；src/components/admin-nav.tsx；requireAdmin() 守衛沿用既有 MVP 做法；/admin/orders 與 /admin/orders/[id] 改吃共用 layout。與 T111（PR #57）在 master 上分開開發，merge 前解掉一個 admin/orders/page.tsx 的預期內衝突（T111 加的「建立訂單」按鈕 vs T09 移除外層 wrapper div）。",T07,2,66,P0,完成
T11,M3,商品,圖片上傳到 Storage,"商品圖／選項對應圖｜✅ 完成（2026-07-13，PR #60）：migration 0012（product_image 第 16 張表〔使用者核准破例〕＋option_value 加 swatch_hex/image_path＋公開 bucket product-images）＋0013（unique(product_id,sort_order)＋insert_product_image()/move_product_image() RPC，取號與排序交換原子化）；src/lib/storage/（驗證＋magic bytes 內容檢查＋immutable 快取＋URL 正規化＋deleteAllProductImageFiles）；後台 /admin/products 列表＋/admin/products/[id]/images 圖片管理（上傳/排序/alt/刪除，主圖＝sort_order 最小）；抽共用 useAdminNotify/AdminPill/ADMIN_STATUS_COLORS。Ultraplan 雲端實作＋本地 /code-review max 15 findings 全修＋手動驗收（上傳/拒件/排序）通過。注意：T10 若做商品刪除，先呼叫 deleteAllProductImageFiles() 清 bucket（FK cascade 不清 Storage）；批次匯入見 T114。",T09,1,67,P0,完成
T10,M3,商品,商品款式 CRUD,"Product 建立／編輯／上下架｜對齊 0001 schema：商品一旦被 cart_item/order_item 引用即無法硬刪（FK RESTRICT，賣過的幾乎永久不可刪），故後台只提供「封存」＝status 改 archived，不提供刪除。｜✅ 完成（2026-07-13，PR #59）：/admin/products 列表（狀態篩選 tabs）／new／[id] 編輯頁＋共用 AdminProductForm；createProduct/updateProduct server actions（Zod 驗證、slug 唯一約束衝突查出實際衝突商品名稱與狀態）。本機 code-review high→max 兩輪修復：updateProduct 的 CAS 守衛改比對 updated_at（而非只比對 status），涵蓋任意欄位的並發異動非僅 status 變更；no-op（無變更）路徑補一次唯讀 drift 檢查；編輯表單改用 key={updated_at} 強制重新掛載避免本地 state 卡舊；品類變更新增伺服器端＋UI 雙重守衛（商品已掛配置器選項時禁止切換品類，避免與白名單三層架構脫鉤，屬 T10 才新增的能力，先前無 UI 能動既有商品品類）；底價欄位清空不再靜默送出 NT$0；isUnchanged／ALL_CATEGORIES／ALL_PRODUCT_STATUSES 改動態衍生防止未來漏同步。merge 前與 T11（PR #60，並行開發）出現大量重疊（雙方各自獨立收斂出 StatusPill/AdminPill、category.ts/category-labels.ts、product-status.ts 兩種形狀），採用已併入 master 的 T11 版本共用元件為準，保留本任務的完整 CRUD／篩選／併發保護邏輯，另加商品圖片數欄位與圖片管理連結整合 T11 成果。","T09,T03",2,69,P0,完成
T12,M3,選項,選項類型／選項值 CRUD,"OptionType／OptionValue｜✅ 完成（2026-07-14，PR #62）：migration 0014（兩表加 is_active＋公開讀 RLS 改 using(is_active=true)＋unique(option_type_id,sort_order)＋insert_option_value()/move_option_value() RPC〔insert 以 constraint_name 分辨排序搶號重試 vs code 衝突原樣拋〕＋revoke execute 四支 RPC 含回補 0013）；/admin/options 全套 CRUD（code 建立後鎖定〔決策 2026-07-13〕、手動輸入＋查重、swatch_hex 色票＋選項圖上傳〔CAS 防並發換圖〕、排序、is_active 顯示切換、使用中禁刪）；verify-prices 白名單過濾 is_active＋必選完整性驗證；PDP/addToCart/collections 改 !inner embed（RLS 濾掉的隱藏項目整列消失不變 null——collections 是 T14 平行開發縫隙、merge 時補修）。Ultraplan 雲端實作＋自審 8 角度後，本地 /code-review max 二次審查再抓 14 findings 全修：結帳卡死自救路徑（verify-prices 錯誤帶商品名＋結帳頁 showCartLink 前往購物車調整）、updateOptionType/Value 補 CAS 樂觀鎖（比照 T10 guard.updatedAt）、key={updatedAt} 重掛範圍收斂到型別欄位區塊（不再清空未存草稿）、欄位級錯誤顯示、隱藏「必選類型最後一個顯示中的值」加強警告、addToCart 區分零選項 vs 全隱藏、bestEffortDeleteImages/訊息常數收斂。tests 336→338。注意：選項圖前台顯示留 T14 改版/T17；swatch 渲染留 T15。","T10,T11",2.5,71.5,P0,完成
T13,M3,選項,款式選項對應＋可選值白名單,"ProductOption／ProductOptionValue｜✅ 完成（2026-07-14，PR #65）：migration 0015（product_option 補 unique(product_id,sort_order)＋insert_product_option()/move_product_option() RPC〔insert 以 constraint_name 分辨排序搶號重試 vs (product_id,option_type_id) 重複原樣拋〕＋set_default_product_option_value() 同組至多一預設的原子切換；三支 RPC revoke execute）；/admin/products/[id]/options 全套 CRUD（加/移除選項類型〔層1 applies_to 伺服器端強制、隱藏型別擋下〕、required 切換、↑↓排序；加/移除白名單值〔跨型別塞值擋下、price_delta 整數非負對齊 DB check、隱藏值可加入但不能設預設〕、加價 CAS 編輯、預設原子切換/清除）；products 列表與編輯頁加「選項設定」入口；品類鎖註解更新。本地 /code-review high 6 findings 全修（§6 error 檢查、pov 層 revalidate 往返收斂、隱藏值設預設分歧、空字串加價）。手動驗收：後台改選項白名單/預設即時反映於 PDP 配置器＋目錄起價。tests 338→369。注意：前台配置器仍全用 chip、不讀 input_type（T16 MVP 取捨），依 input_type 渲染〔戒圍下拉/寶石色票〕見 T120。",T12,2.5,74,P0,完成
T14,M4,前台,商品目錄頁（多品類框架）,"支援多類，先上戒指｜✅ 完成（2026-07-14，PR #61）：/collections/[category] 品類列表頁，tabs 依實際上架資料自動點亮／顯示「即將推出」；輕量排序（推薦／價格高低／最新，CollectionSortSelect 用 useTransition＋router.replace）；商品卡（brand-guide §7.4，寶石色點取自預設選項值＋material meta＋price「起」，起價含各選項群預設值加價，比照 PDP 算法）；/collections 導向 /collections/ring。code-review max（15 findings，14 修復＋1 刻意不修）：修正「目前品類自身 tab 無商品時也標示即將推出」的不一致、tab 切換補帶 sort 參數、tab-lit-up 改每品類 .limit(1) 存在性探測（取代全站掃描）、抽出共用 collection-sort.ts／option-type-codes.ts／placeholder-image.tsx／breadcrumb.tsx（後者回填套用到既有 PDP，消滅三處重複佔位圖與兩處重複麵包屑）。刻意不修：product_option embed 過度撈取本可用 !inner 收斂，但會讓沒有 gem_color/metal_color 選項的商品被排除在目錄外（inner join 特性），故延後登記為 T115（依賴 T13）。","T10",1.5,75.5,P0,完成
T54,M4,前台,🚀戒圍尺寸對照／量法說明頁,降低選錯尺寸的重做成本,T16,0.5,76,P1,未開始
T44,M4,設計,🚀品牌視覺打磨,在 UI kit 基礎上提升質感,"T39,T16",2,78,P1,未開始
T40,M4,前台,🚀RWD 與互動打磨,"響應式、載入／過場／空狀態｜✅ 完成（2026-07-13，PR #58）：SiteHeader 新增 MobileNav（radix-ui Dialog 抽屜，COLLECTIONS/CUSTOM/ABOUT），修補手機版導覽連結完全消失且無替代入口的缺口；products/[slug]／cart／checkout／account/orders／account/orders/[id] 補上 loading.tsx 骨架（品牌風格 Skeleton 元件）；account layout 側邊選單與訂單列表改 RWD（手機單欄堆疊／卡片式）。","T16,T22",2.5,80.5,P0,完成
T59,M4,SEO,◆ SEO 基礎,meta／OG 分享卡／sitemap／robots／商品結構化資料｜soft-404 修正（2026-07-20，T62 PR #87 走查衍生）：頁面內 notFound() 在本站預設動態渲染下回傳狀態碼 200（內容為客製 404 頁、狀態碼卻非 404）＝soft-404，搜尋引擎視為有效頁不利 SEO；未匹配路由則正確回 404。狀態碼由 notFound() 機制決定、與 not-found.tsx 無關（T62 僅換 UI 不改狀態碼行為）。修法待研究：動態渲染下強制 notFound() 路由回 404 狀態。,T14,1,81.5,P1,未開始
T60,M4,分析,🚀◆ 網站分析＋Cookie 同意,GA4／轉換追蹤＋Cookie 同意 banner,T14,0.5,82,P1,未開始
T62,M4,前台,🚀◆ 客製錯誤頁＋圖片效能優化,"404／500 頁、Next.js Image 最佳化、lazy load｜⏳ 部分完成（2026-07-20，PR #87）：客製 404（not-found.tsx）＋500（error.tsx，回報 Sentry＋reset）已上線，品牌 token 沿用 SystemBusyCard，dev 走查 404 UI 正常。走查發現 notFound() 動態渲染下 soft-404（狀態碼 200）＝既有 SEO 課題，非本次造成，已登記併入 T59。**剩餘**：Next.js Image 最佳化／lazy-load（範圍會掃全站元件）留前台批次（與 T44／T60／T120 同批，2026-07-28 後）。",T40,0.5,82.5,P1,進行中
T42,M5,金流,🚀電子發票串接（ECPay）,"付款後開立電子發票（PR #68，2026-07-15 完成）：B2C AES-JSON 協議、結帳三選一（個人綠界載具／公司統編／手機條碼），webhook after() 背景自動開立＋reconcile cron 未開票 sweep＋後台手動補開；統編/條碼結帳前打 ECPay 驗證（僅明確無效才擋）；migration 0016 orders.invoice_meta。/code-review max 15 findings 全修＋dev 走查再抓 2 個真 bug（use server 檔 type re-export 炸 Turbopack、RtnCode 判讀被 schema 驗形搶先致 fail-open 繞過，均已修＋案例庫回填）。stage 真實 API 端到端六情境全過。實際耗時約 3 人天（原估 1.5）。後續：T122 正式帳號＋字軌、T125 自家頁面補發票資訊。",T26,1.5,84,P0,完成
T47,M5,售後,退換貨流程＋綠界金流退刷,"申請→審核分流→綠界退刷 API→狀態已退款→通知；物流退貨低單量手動收件｜✅ 完成（2026-07-19，PR #86，記錄式範圍）：實際刷退仍走綠界廠商後台人工，系統負責退刷後一致性——refund_order 原子 RPC（migration 0020：翻 paid payment＋CAS 轉 orders refunded＋寫 log 單一交易，CAS 未命中 raise 整筆 rollback，消滅半套狀態）＋repair_refunded_payment 原子 RPC（0021：Override 逃生口留下的 order=refunded∧payment=paid 半套的補登記，note 帶 [退款補登記] 前綴）＋reconcile 雙半套稽核臂（paid-on-cancelled/paid-on-refunded durable 兜底）＋退款守衛改 !findPaidPayment（§5 重複付款）＋webhook refund-aware（退款終態重複回呼良性短路）＋完整退款通知信（T87，sendOnce 去重＋每日 sweep）＋support_request status check（0019）。經 plan mode→Ultraplan refine→3 輪 max＋2 輪 deep-domain 對抗審查收斂。**衍生任務**：T136（email 外殼共用 layout）；部分品項/金額退款、ECPay DoAction 自動退刷 API、發票折讓/作廢自動化（須會計確認）另列未登記。#1 pending 兄弟退款後翻 paid＝文件化人工處置（ops-runbook §6.1，硬修會藏錢故不做）。",T26,2.5,86.5,P0,完成
T50,M5,通知,🚀Email 送達性（SPF/DKIM/DMARC）,寄件網域驗證，避免進垃圾信,T30a,0.5,87,P0,未開始
T34,M5,上線,🚀資料庫自動備份設定,排程備份／升 Pro（收單前必做）。**DoD 擴充（2026-07-04 營運面檢討）：必須實際演練一次還原**（還原到獨立測試專案、驗證資料完整）——沒驗證過還原的備份等於沒有備份。Dashboard 操作由使用者本人執行。,T03,0.5,87.5,P0,未開始
T35,M5,上線,🚀正式環境＋ECPay 正式金鑰,切正式、環境變數｜待辦（2026-07-10，T83 遺留事項）：Resend 網域驗證完成後，需回頭把 Supabase Dashboard 的 Custom SMTP 寄件人從 `onboarding@resend.dev` 改成 `orders@incantochen.com`，否則正式客人收不到 Auth 登入信（magic link／OTP）。｜⚠️ 驗收必做（2026-07-15，T107 風險評估）：換正式網域＋正式金鑰後**立刻打一筆真實小額交易驗證 webhook 有到達**（查 payment 翻 paid＋notification sent＋order_status_log 有 ECPay webhook 記錄）——ReturnURL 沒同步、sandbox／正式金鑰混用屬「設定層」失敗：全滅型（每筆都收不到）、綠界重送救不了、不自癒，人為出錯機率遠高於網路／平台／應用三層加總，一筆測試交易即可 100% 驗出；分層機率評估見 ops-runbook §1.2。,T26,1,88.5,P0,未開始
T36,M5,上線,🚀隱私／服務條款頁,◆ 客製例外載明＋個資告知/隱私權政策；用詞需律師審,—,0.5,89,P0,未開始
T61,M5,法務,🚀◆ 賣家資訊揭露＋聯絡頁,通訊交易應載明事項(賣家名稱/聯絡/退換貨政策)、聯絡我們,—,0.5,89.5,P0,未開始
T63,M5,法務,🚀◆ 當事人個資權利處理流程,查詢／更正／刪除個資請求（初期人工 email）｜對齊 0001：因 orders 對 member 為 FK RESTRICT，有訂單的會員無法實體刪除；當事人刪除請求走「匿名化」（洗去姓名/email、保留帳務），非真刪。,T08,0.5,90,P1,未開始
